iter	Logloss
448	0.1797500246
449	0.1791742732
450	0.1788084695
451	0.1787968539
452	0.1782786016
453	0.1782540739
454	0.1778182233
455	0.1772825905
456	0.1768731749
457	0.1766777253
458	0.1762494934
459	0.176167906
460	0.1757999913
461	0.1754467139
462	0.1752625583
463	0.1747999084
464	0.1742524136
465	0.1738209457
466	0.1733871739
467	0.1730554345
468	0.1728670892
469	0.1726197875
470	0.172604968
471	0.1721066036
472	0.1718780218
473	0.1717016242
474	0.1711557795
475	0.1709091208
476	0.1704817354
477	0.1704469102
478	0.1702655406
479	0.1697630079
480	0.1696027691
481	0.1695912179
482	0.169460661
483	0.1694310435
484	0.1691716441
485	0.1688961072
486	0.1687291392
487	0.1683269779
488	0.1680893202
489	0.1678424364
490	0.1675515871
491	0.1673864622
492	0.1671682958
493	0.1671455576
494	0.1668151041
495	0.1665863937
496	0.1663593442
497	0.1660252153
498	0.1655438241
499	0.1653037982
