iter	Logloss
0	0.6738968753
1	0.6560602081
2	0.6375439247
3	0.6215350119
4	0.6077219931
5	0.5948053424
6	0.5821441908
7	0.5703561761
8	0.5577390864
9	0.5497549679
10	0.5394527135
11	0.5294913817
12	0.5199188918
13	0.509482523
14	0.5010088374
15	0.4915458593
16	0.4847462686
17	0.4778819566
18	0.4711155409
19	0.4655312527
20	0.4593695308
21	0.4543261582
22	0.4495006947
23	0.444075338
24	0.4392147707
25	0.4352651017
26	0.4303642016
27	0.4252967406
28	0.4221906341
29	0.4187876669
30	0.4146628219
31	0.4106284581
32	0.4076706961
33	0.4040307034
34	0.4019414923
35	0.3986329925
36	0.3963400166
37	0.39394893
38	0.3919914331
39	0.3903762732
40	0.3883348101
41	0.3871607834
42	0.3848113156
43	0.3834679421
44	0.382117025
45	0.3798960996
46	0.3774841394
47	0.3756968466
48	0.3742546339
49	0.3722077273
50	0.3712178777
51	0.3694365426
52	0.3681278014
53	0.3670605863
54	0.3652540057
55	0.3638955877
56	0.3629592724
57	0.3619362478
58	0.3596421145
59	0.3582591796
60	0.357224518
61	0.3556438403
62	0.3551078539
63	0.3538613909
64	0.352810849
65	0.3519735015
66	0.3509248026
67	0.3505834944
68	0.3497149007
69	0.3483643264
70	0.3472355403
71	0.3457592096
72	0.3452303597
73	0.3442212651
74	0.3436806282
75	0.342966144
76	0.3420448946
77	0.3412393077
78	0.3405425682
79	0.3389579687
80	0.3377855922
81	0.3360884591
82	0.3344462963
83	0.3334846925
84	0.3320745404
85	0.3316556095
86	0.3309620632
87	0.3305316882
88	0.3294662304
89	0.3288249541
90	0.3279624682
91	0.327214959
92	0.3263635314
93	0.325467699
94	0.3248280729
95	0.323840945
96	0.3230130056
97	0.3226175201
98	0.3221019145
99	0.3216361142
100	0.3207135147
101	0.3204085104
102	0.3197850431
103	0.3188976331
104	0.3183329293
105	0.3175764834
106	0.3172854306
107	0.3168238951
108	0.3160581267
109	0.3150549256
110	0.3145485353
111	0.314227865
112	0.3136748625
113	0.312898443
114	0.3122458512
115	0.3115838083
116	0.3110103821
117	0.3100428635
118	0.30916304
119	0.3086739872
120	0.3079330787
121	0.3067904483
122	0.3067504154
123	0.3062053638
124	0.3060565477
125	0.3052928367
126	0.3047269328
127	0.3045415557
128	0.3038820631
129	0.3034359364
130	0.3029629568
131	0.3020390714
132	0.3016874335
133	0.3015739784
134	0.3008872471
135	0.3002442992
136	0.2996439559
137	0.299320821
138	0.2986983396
139	0.2981531808
140	0.2978177017
141	0.2968572552
142	0.2963635091
143	0.2960867935
144	0.2954754562
145	0.2951453563
146	0.2945615361
147	0.2943846028
148	0.2939751872
149	0.2935651715
150	0.2928401861
151	0.2924886553
152	0.2923340958
153	0.2914333558
154	0.2909309944
155	0.2904186892
156	0.289851478
157	0.2896557926
158	0.2891735548
159	0.2885597743
160	0.288108097
161	0.2875718106
162	0.2870913302
163	0.2869758177
164	0.2864003985
165	0.2856820996
166	0.2851314116
167	0.284710059
168	0.2843504916
169	0.2837669073
170	0.2829672138
171	0.2823745213
172	0.2820242121
173	0.2816688452
174	0.2812361771
175	0.2801023762
176	0.2799395229
177	0.2793677469
178	0.278931007
179	0.2783349712
180	0.2779158689
181	0.2772878583
182	0.2769608658
183	0.2768871222
184	0.276591526
185	0.2759386556
186	0.2757686658
187	0.2753965614
188	0.2752167134
189	0.2748550672
190	0.2743913029
191	0.2734505728
192	0.2732525515
193	0.272792559
194	0.2723512542
195	0.2721546687
196	0.271864066
197	0.2715741704
198	0.271175706
199	0.2708580146
200	0.2706357549
201	0.2702154524
202	0.2699599748
203	0.2696621927
204	0.269196371
205	0.2687215055
206	0.2682740501
207	0.267976868
208	0.2676888798
209	0.2671086601
210	0.266787154
211	0.2662862499
212	0.2656597395
213	0.2649769729
214	0.2646087475
215	0.2637796295
216	0.2635237447
217	0.2631698351
218	0.262768649
219	0.2622264905
220	0.2616674445
221	0.2614527927
222	0.2612693872
223	0.260915049
224	0.2606513206
225	0.2602112588
226	0.2598210024
227	0.2594065291
228	0.2591409362
229	0.257976532
230	0.2577403636
231	0.2576146501
232	0.2572201075
233	0.2569434991
234	0.2565476707
235	0.2559202601
236	0.2556312861
237	0.255175987
238	0.2545952958
239	0.2542453294
240	0.2536005599
241	0.2528918406
242	0.252607067
243	0.2522224255
244	0.2515991511
245	0.2510958897
246	0.2509182491
247	0.2506849739
248	0.2503371935
249	0.2499844197
250	0.2495277919
251	0.2492993387
252	0.2488522905
253	0.2483050743
254	0.2480215437
255	0.2476600476
256	0.2472425739
257	0.2469599649
258	0.2466528818
259	0.2465644365
260	0.2461999615
261	0.2460075978
262	0.2453942245
263	0.2449928884
264	0.2444030247
265	0.2440997992
266	0.2439315024
267	0.2436717173
268	0.2430917547
269	0.242737245
270	0.2424827533
271	0.2421724984
272	0.2416309828
273	0.2411283214
274	0.2410070869
275	0.2405453371
276	0.2400768366
277	0.2391368137
278	0.2388202796
279	0.2385712099
280	0.2382568188
281	0.2372398591
282	0.2368043407
283	0.2365128164
284	0.2364256998
285	0.2358277996
286	0.2352684535
287	0.2348988779
288	0.2348786043
289	0.2345910447
290	0.2339815075
291	0.2338158254
292	0.2335852719
293	0.2332002018
294	0.2330687019
295	0.2326477137
296	0.2321154134
297	0.2316353616
298	0.2315296002
299	0.231506862
300	0.2309776263
301	0.2301395931
302	0.2291913193
303	0.228815936
304	0.2285163965
305	0.227845567
306	0.2277780597
307	0.2268960503
308	0.2264415655
309	0.2261087225
310	0.2259008
311	0.2254743255
312	0.2253458259
313	0.2249736143
314	0.2244086533
315	0.224009696
316	0.2236581009
317	0.2234739239
318	0.2227632973
319	0.2226211676
320	0.2223690119
321	0.2221863779
322	0.2221450377
323	0.2217220135
324	0.2210745651
325	0.2205272632
326	0.2200588055
327	0.2196485112
328	0.2194408031
329	0.2194182149
330	0.2193530436
331	0.2187615512
332	0.2186006053
333	0.2178425307
334	0.2178224071
335	0.217471112
336	0.2174513099
337	0.2173009294
338	0.2172724692
339	0.2168057045
340	0.2167638714
341	0.2167519344
342	0.2165732437
343	0.2156356211
344	0.2156178764
345	0.215315358
346	0.2150222264
347	0.2149995097
348	0.2143835003
349	0.2142113032
350	0.2135362518
351	0.2133406736
352	0.2130057088
353	0.2128461131
354	0.2126070087
355	0.2120105015
356	0.2116873238
357	0.2114149372
358	0.2109430292
359	0.2105006529
360	0.210450076
361	0.2101391567
362	0.2090288227
363	0.2087647299
364	0.2083933112
365	0.2077416838
366	0.2075522776
367	0.2070962713
368	0.206630021
369	0.2063046359
370	0.2058763611
371	0.2054273841
372	0.2052536225
373	0.2052419427
374	0.2045810785
375	0.2041685126
376	0.2034990332
377	0.20284657
378	0.202297425
379	0.2018903454
380	0.2012809153
381	0.2011708035
382	0.2011226911
383	0.200879172
384	0.2005422571
385	0.2000452963
386	0.1997959266
387	0.199643703
388	0.1995598225
389	0.1995158249
390	0.1994062702
391	0.1992113349
392	0.1991802387
393	0.1991380627
394	0.1985362621
395	0.197795225
396	0.197167943
397	0.1966872483
398	0.1959441967
399	0.195813897
400	0.1952472001
401	0.1952326271
402	0.1950876472
403	0.1947357949
404	0.1944177178
405	0.1943946581
406	0.1935748197
407	0.1933899783
408	0.1929042688
409	0.192891796
410	0.1925539595
411	0.1922170446
412	0.1920125511
413	0.1914348388
414	0.1914250235
415	0.1913000171
416	0.1912435467
417	0.1908125717
418	0.1904339737
419	0.1902074707
420	0.1894486888
421	0.1891192747
422	0.1889025442
423	0.1887668224
424	0.188397654
425	0.1883762445
426	0.1882873707
427	0.1878820698
428	0.1876759904
429	0.1871831658
430	0.1871568058
431	0.1865750859
432	0.186045636
433	0.1855512255
434	0.1849623691
435	0.1846200321
436	0.1842966187
437	0.1838810953
438	0.1835756838
439	0.1832905244
440	0.182963682
441	0.1823377288
442	0.1823225986
443	0.1818052999
444	0.1813076748
445	0.1811310629
446	0.1805438352
447	0.1802879505
